Sample,Name (Meaning),Author,Date,Document,Decision
Sample,Name (Meaning),Author,Date,Document,Decision
Faces,Name (Meaning),Author,Date,Document,Decision
,Sympathetic Face,"Mark Davis, Peter Edberg",2014‑08‑27,L2/14‑174R,140‑A115*L2/14‑250*
Faces,Thin Face,"Mark Davis, Peter Edberg",2014‑08‑27,L2/14‑174R,140‑A115*L2/14‑250*
,PMS(premenstrual syndrome),Svenska Cellulosa AB,2016‑03‑21,L2/16‑126,147‑A118*147‑A119†148‑A22
Faces,Spotty(face with spots),Svenska Cellulosa AB,2016‑03‑21,L2/16‑126,147‑A118*147‑A119†148‑A22
,Smiling Face with Hand Raised,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
Faces,Smiling Face with Hand Putting on Makeup,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
Faces,Frowning Face with Lowered Eyebrows,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
Faces,Smiling Face with Smiling Eyes and Four Stars,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
Faces,Face with Eyebrows Lowered and Mouth Angled to the Side,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
Faces,Smiling Face with Lowered Eyebrows,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
Faces,Face with Tongue Out and Utensils,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
Faces,Face with Eyebrows Lowered and Closed Mouth,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
Faces,Smiling Face with Hand Snapping and Lightbulb,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
Faces,Face with Pained Eyes and Teeth Clenched,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
Faces,Sad Face with Lip Pursed,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
,Frowning Face with Question Marks as Eyes,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
2017‑08‑01,L2/17‑244R,L2/18‑023,2016‑10‑31,L2/16‑313,L2/16‑324*
,Face Whistling,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
,Grinning Face with Letters OK as Eyes,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
2017‑08‑01,L2/17‑244R,L2/18‑023,2016‑10‑31,L2/16‑313,L2/16‑324*
,Face Banging Against Wall,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
2017‑08‑01,Face with Sideways Eyes and Tongue Hanging Out,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
2017‑08‑01,Angry Face Green with Envy,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
2017‑08‑01,Happy Face with Lightbulb,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
2017‑08‑01,Confused Face with Question Mark,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
,Sad Face with Broken Heart,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
Sad Face with Broken Heart[ZWJsequence:😞+💔=😞‍💔],2017‑08‑01,L2/17‑244R,L2/18‑023,L2/16‑313,L2/16‑324*
,Smiling Face with Raised Hand,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
Sad Face with Broken Heart[ZWJsequence:😞+💔=😞‍💔],Expressionless Face with Bruises and Bandage,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
Sad Face with Broken Heart[ZWJsequence:😞+💔=😞‍💔],Expressionless Face with Eyes Half Open,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
Sad Face with Broken Heart[ZWJsequence:😞+💔=😞‍💔],Expressionless Face Half Covered by Hair,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑31,L2/16‑313,L2/16‑324*
,Angry Pile of Poo,"Tayfun Karadeniz, Emoji Subcommittee",2017‑07‑27,L2/17‑244,withdrawn
Sad Face with Broken Heart[ZWJsequence:😞+💔=😞‍💔],Sad Face Cracked Down the Center,"Tayfun Karadeniz, Emoji Subcommittee",2017‑07‑27,L2/17‑244,withdrawn
Sad Face with Broken Heart[ZWJsequence:😞+💔=😞‍💔],Grinning Face with Four Leaf Clovers for Eyes,"Tayfun Karadeniz, Emoji Subcommittee",2017‑07‑27,L2/17‑244,withdrawn
Sad Face with Broken Heart[ZWJsequence:😞+💔=😞‍💔],White Expressionless Face with Hands Up,"Tayfun Karadeniz, Emoji Subcommittee",2017‑07‑27,L2/17‑244,withdrawn
Sad Face with Broken Heart[ZWJsequence:😞+💔=😞‍💔],Face Covered with Black Mask with Eyes and Mouth Exposed,"Tayfun Karadeniz, Emoji Subcommittee",2017‑07‑27,L2/17‑244,withdrawn
,Frowning Pile of Poo,"Tayfun Karadeniz, Emoji Subcommittee",2017‑08‑01,L2/17‑244R,L2/18‑023
,U+3020〠Postal Mark Face,Ken Lunde,2017‑12‑08,L2/17‑421,withdrawn
Hand Signs,U+3020〠Postal Mark Face,Ken Lunde,2017‑12‑08,L2/17‑421,withdrawn
,High Five,Katrina Parrott,2014‑10‑28,L2/14‑282,141‑A10
,Three-Fingered Salute,Rashed Khalfan Al Balooshi,2016‑03‑15,L2/16‑071,L2/16‑130147‑A112147‑A113†
,Hand with Thumb and First Two Fingers Extended,"Peter Edberg, Emoji Subcommittee",2016‑10‑31,L2/16‑308,L2/16‑324*
Hand Signs,Hand Sign Shaka,"Peter Edberg, Emoji Subcommittee",2016‑10‑31,L2/16‑308,L2/16‑324*
Hand Signs,Hand with Thumb and Index Finger Extended,"Peter Edberg, Emoji Subcommittee",2016‑10‑31,L2/16‑308,L2/16‑324*
Hand Signs,Hand with First Three Fingers Extended,"Peter Edberg, Emoji Subcommittee",2016‑10‑31,L2/16‑308,L2/16‑324*
Hand Signs,Hand with Four Fingers Extended,"Peter Edberg, Emoji Subcommittee",2016‑10‑31,L2/16‑308,L2/16‑324*
Hand Signs,West Coast Hand,"Peter Edberg, Emoji Subcommittee",2016‑10‑31,L2/16‑308,L2/16‑324*
Hand Signs,East Coast Hand,"Peter Edberg, Emoji Subcommittee",2016‑10‑31,L2/16‑308,L2/16‑324*
,Clasping Hands,"Zoe Mendelson, Emojination",2017‑06‑29,L2/17‑275,L2/17‑221*
,Hand Dropping Microphone,Anshuman Pandey,2017‑07‑28,L2/17‑389,L2/17‑401
,U+261C☜White Left Pointing Index,Ken Lunde,2017‑12‑19,L2/17‑421R,
Hand Signs,U+261E☞White Right Pointing Index,Ken Lunde,2017‑12‑19,L2/17‑421R,L2/17‑401
Hand Signs,U+261F☟White Down Pointing Index,Ken Lunde,2017‑12‑19,L2/17‑421R,L2/17‑401
,Raised Little Finger,"Gretchen McCulloch, Lauren Gawne, Jennifer Daniel",2019‑10‑01,L2/19‑326,L2/20‑242R
Food,Raised Little Finger,"Gretchen McCulloch, Lauren Gawne, Jennifer Daniel",2019‑10‑01,L2/19‑326,L2/20‑242R
,Yogurt,"Mark Davis, Peter Edberg",2014‑08‑27,L2/14‑174R,140‑A115*L2/14‑250*
,Soybean,Hiroyuki Komatsu,2015‑07‑26,L2/15‑197R,144‑C15
Food,Buckwheat,Hiroyuki Komatsu,2015‑07‑26,L2/15‑197R,144‑C15
Food,Sesame,Hiroyuki Komatsu,2015‑07‑26,L2/15‑197R,144‑C15
Food,Celery,Hiroyuki Komatsu,2015‑07‑26,L2/15‑197R,144‑C15
Food,Lupin,Hiroyuki Komatsu,2015‑07‑26,L2/15‑197R,144‑C15
Food,Mustard,Hiroyuki Komatsu,2015‑07‑26,L2/15‑197R,144‑C15
Food,Walnut,Hiroyuki Komatsu,2015‑07‑26,L2/15‑197R,144‑C15
Food,Grain,Hiroyuki Komatsu,2015‑07‑26,L2/15‑197R,144‑C15
,Almond,"Alexandra Perro, Steven Russo",2016‑09‑30,L2/16‑275,L2/16‑324*L2/16‑340R2*L2/16‑355*
,Cabbage,"Jennifer 8. Lee, Emoji Subcommittee",2016‑11‑01,L2/16‑316,L2/16‑324*L2/16‑355*
Food,Hummus,"Jennifer 8. Lee, Emoji Subcommittee",2016‑11‑01,L2/16‑316,L2/16‑324*L2/16‑355*
,White Wine Glass[ZWJ sequence:🍷+◻️=🍷‍◻️],"Lauren Svoboda, Kendall‐Jackson Winery",2018‑05‑11,L2/18‑208,L2/18‑222R3
White Wine Glass[ZWJ sequence:🍷+⬜️=🍷‍⬜],"Maggie Curry, Kendall‐Jackson Winery",2019‑08‑26,L2/19‑276R,160‑A43,L2/18‑222R3
Animals and Plants,"Maggie Curry, Kendall‐Jackson Winery",2019‑08‑26,L2/19‑276R,160‑A43,L2/18‑222R3
,Potted Cactus,"Irish National Body, German National Body",2009‑04‑06,L2/09‑114,L2/09‑103*
Animals and Plants,Reindeer,"Irish National Body, German National Body",2009‑04‑06,L2/09‑114,L2/09‑103*
Animals and Plants,Monster,"Irish National Body, German National Body",2009‑04‑06,L2/09‑114,L2/09‑103*
,Squirrel,"Mark Davis, Peter Edberg",2014‑08‑27,L2/14‑174R,L2/14‑250*
Animals and Plants,Andrew West,2017‑11‑15,L2/17‑442,L2/18‑024,L2/14‑250*
,Hawk,"Mark Davis, Peter Edberg",2014‑08‑27,L2/14‑174R,L2/14‑250*
,Triceratops Head,Courtney Milan,2016‑04‑02,L2/16‑072,147‑A114
,Triceratops,Andrew West,2016‑04‑29,L2/16‑103,147‑A116
,Ankylosaurus,Andrew West,2016‑04‑29,L2/16‑103,147‑A116
Animals and Plants,Gallimimus,Andrew West,2016‑04‑29,L2/16‑103,147‑A116
Animals and Plants,Pachycephalosaurus,Andrew West,2016‑04‑29,L2/16‑103,147‑A116
Animals and Plants,Parasaurolophus,Andrew West,2016‑04‑29,L2/16‑103,147‑A116
